序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,L000000000,19666,62558,98.2
2,2023,高階主管(總經理及總執行長),L000000000,594,138609,248.9
3,2023,中階主管(經理),L000000000,3919,84833,134.6
4,2023,監督人員(含現場及辦公室主任、科/股長),L000000000,15153,53817,82.4
5,2023,專業人員,L000000000,8082,56047,78.3
6,2023,農、林、漁、牧業專業人員,L000000000,---,---,---
7,2023,土木及水利工程師,L000000000,566,68383,98.5
8,2023,環境工程師,L000000000,---,---,---
9,2023,電機、電子工程師,L000000000,312,67047,92.2
10,2023,建築工程師(含建築師),L000000000,504,71922,97.1
11,2023,景觀設計師、都市及交通規劃師,L000000000,289,57118,80.6
12,2023,測量師及製圖師,L000000000,---,---,---
13,2023,室內設計師,L000000000,424,61230,82.7
14,2023,平面及多媒體設計師,L000000000,322,50907,75.3
15,2023,護理人員,L000000000,---,---,---
16,2023,勞安及衛生管理人員(含工業安全管理師),L000000000,---,---,---
17,2023,會(審)計師,L000000000,280,62075,90.7
18,2023,財務及投資規劃分析人員,L000000000,502,55538,76.6
19,2023,專案管理師(含經營管理顧問),L000000000,567,60410,83.5
20,2023,稽核人員,L000000000,---,---,---
21,2023,人力資源管理師,L000000000,128,58110,90.1
22,2023,廣告及行銷專業人員(含企劃),L000000000,2615,45633,67.4
23,2023,公關專業人員,L000000000,300,55803,71.3
24,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),L000000000,844,58033,72.9
25,2023,律師,L000000000,---,---,---
26,2023,技術員及助理專業人員,L000000000,54442,44611,69.1
27,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),L000000000,5350,49431,78.3
28,2023,電機、電子技術員,L000000000,194,57900,83.1
29,2023,製圖員,L000000000,---,---,---
30,2023,環境工程技術員,L000000000,---,---,---
31,2023,農業技術及農業推廣人員,L000000000,287,52783,82.2
32,2023,勞安及衛生技術員,L000000000,---,---,---
33,2023,會計人員,L000000000,2212,49311,72.6
34,2023,財物及損失鑑價人員,L000000000,695,43451,64.6
35,2023,工商業銷售代表(含業務員),L000000000,6072,43903,68.1
36,2023,採購員,L000000000,794,47078,71.1
37,2023,不動產經紀人,L000000000,34732,43671,68.5
38,2023,拍賣員(不含電子購物、郵購),L000000000,-,-,-
39,2023,專業秘書,L000000000,2059,41998,60.8
40,2023,土地代書(地政士),L000000000,---,---,---
41,2023,法務人員,L000000000,270,58660,83.8
42,2023,資訊管理及維護技術員,L000000000,1071,43219,60.7
43,2023,事務支援人員,L000000000,42798,36093,49.7
44,2023,總務,L000000000,3624,40130,53.3
45,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),L000000000,23062,35143,48.1
46,2023,收帳、收費人員(含帳款催收),L000000000,1136,37344,53.6
47,2023,接待員及服務台事務人員(含總機),L000000000,1884,33829,47.7
48,2023,統計調查訪談人員,L000000000,---,---,---
49,2023,會計助理、簿記、出納,L000000000,11845,36339,50.5
50,2023,存貨事務人員,L000000000,---,---,---
51,2023,生產及物料規劃事務人員,L000000000,---,---,---
52,2023,人事事務人員,L000000000,976,39917,54.2
53,2023,服務及銷售工作人員,L000000000,4881,37008,58.7
54,2023,廚師,L000000000,-,-,-
55,2023,餐飲服務人員(含餐食櫃台工作),L000000000,107,28007,33.9
56,2023,按摩師,L000000000,-,-,-
57,2023,銷售人員,L000000000,3867,37858,62.6
58,2023,收銀員及售票員,L000000000,-,-,-
59,2023,建築物管理員、保全及警衛人員,L000000000,869,34660,49.4
60,2023,技藝、機械設備操作及組裝人員,L000000000,992,42272,58.6
61,2023,園藝及農牧業生產人員,L000000000,-,-,-
62,2023,營建木作人員,L000000000,-,-,-
63,2023,屋頂工作、地面牆面鋪設、泥作工作人員,L000000000,-,-,-
64,2023,空調及冷凍機械裝修人員,L000000000,-,-,-
65,2023,車輛維修人員(含自行車、機車、汽車、火車),L000000000,---,---,---
66,2023,電力、電子、資通訊設備裝修人員(含水電工),L000000000,327,40264,56.4
67,2023,軌道車輛駕駛人員,L000000000,---,---,---
68,2023,小客、貨車駕駛人員,L000000000,479,44966,58.7
69,2023,大客、貨車駕駛人員,L000000000,-,-,-
70,2023,基層技術工及勞力工,L000000000,1428,29500,36.4
71,2023,清潔及家事工作人員(含建築清潔工、房務人員),L000000000,812,28320,35.9
72,2023,勞力工(含理貨員、行李搬運工),L000000000,605,31130,37
73,2023,廚房幫工(含速食烹調),L000000000,-,-,-
74,2023,主管及監督人員,L670000000,8424,69874,109.2
75,2023,高階主管(總經理及總執行長),L670000000,396,138047,222.6
76,2023,中階主管(經理),L670000000,2452,84858,130.1
77,2023,監督人員(含現場及辦公室主任、科/股長),L670000000,5576,58443,90.8
78,2023,專業人員,L670000000,3484,61640,87.2
79,2023,土木及水利工程師,L670000000,---,---,---
80,2023,環境工程師,L670000000,-,-,-
81,2023,電機、電子工程師,L670000000,151,70908,100.5
82,2023,建築工程師(含建築師),L670000000,496,72100,97.3
83,2023,景觀設計師、都市及交通規劃師,L670000000,148,55786,73.9
84,2023,測量師及製圖師,L670000000,---,---,---
85,2023,室內設計師,L670000000,---,---,---
86,2023,平面及多媒體設計師,L670000000,---,---,---
87,2023,勞安及衛生管理人員(含工業安全管理師),L670000000,---,---,---
88,2023,會(審)計師,L670000000,---,---,---
89,2023,財務及投資規劃分析人員,L670000000,323,53827,72.6
90,2023,專案管理師(含經營管理顧問),L670000000,334,63835,95.8
91,2023,稽核人員,L670000000,---,---,---
92,2023,人力資源管理師,L670000000,---,---,---
93,2023,廣告及行銷專業人員(含企劃),L670000000,630,49290,70.4
