序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,C000000000,266927,79446,145.6
2,2023,高階主管(總經理及總執行長),C000000000,23851,147181,292
3,2023,中階主管(經理),C000000000,85437,95317,183.5
4,2023,監督人員(含現場及辦公室主任、科/股長),C000000000,157639,60597,104.1
5,2023,專業人員,C000000000,309076,64308,123.5
6,2023,數理工程及地球科學研究人員,C000000000,---,---,---
7,2023,生命科學及生態環境研究人員,C000000000,88,61465,80.5
8,2023,農、林、漁、牧業專業人員,C000000000,328,64598,91.3
9,2023,品管、工管及生管工程師,C000000000,48794,56746,99.1
10,2023,土木及水利工程師,C000000000,401,56274,93.3
11,2023,環境工程師,C000000000,966,61895,101.6
12,2023,航空機械工程師,C000000000,1300,71294,109.9
13,2023,冷凍空調工程師,C000000000,1668,64619,123.3
14,2023,機械工程師(含造船、輪機、鑄造),C000000000,37622,58469,105.8
15,2023,食品工程師,C000000000,1468,53217,79.8
16,2023,化學工程師,C000000000,16267,66586,119.6
17,2023,地質、採礦、鑽探、冶金工程師,C000000000,277,76559,144.3
18,2023,紡織工程師,C000000000,1407,47017,65.6
19,2023,醫療器材、醫學工程師,C000000000,1250,53237,79.7
20,2023,生物科學工程師,C000000000,1955,46746,61.4
21,2023,光學工程師,C000000000,4483,64783,107.7
22,2023,電機、電子工程師,C000000000,93485,69586,157.3
23,2023,電信工程師,C000000000,6510,106084,213.7
24,2023,建築工程師(含建築師),C000000000,89,61373,106.4
25,2023,景觀設計師、都市及交通規劃師,C000000000,-,-,-
26,2023,測量師及製圖師,C000000000,-,-,-
27,2023,平面及多媒體設計師,C000000000,794,43862,58.5
28,2023,產品及服裝設計師(含工業設計),C000000000,14465,55149,87.7
29,2023,醫師,C000000000,---,---,---
30,2023,護理人員,C000000000,1005,46234,80
31,2023,獸醫師,C000000000,---,---,---
32,2023,藥事人員(含藥師),C000000000,616,56412,78.2
33,2023,勞安及衛生管理人員(含工業安全管理師),C000000000,8518,54886,86.4
34,2023,營養師,C000000000,---,---,---
35,2023,會(審)計師,C000000000,393,71218,122.6
36,2023,風險控管人員,C000000000,71,72205,107.6
37,2023,財務及投資規劃分析人員,C000000000,796,68554,120.8
38,2023,專案管理師(含經營管理顧問),C000000000,11080,66869,110.3
39,2023,稽核人員,C000000000,999,63654,105.8
40,2023,人力資源管理師,C000000000,6575,53459,85.2
41,2023,廣告及行銷專業人員(含企劃),C000000000,12485,56519,93.8
42,2023,公關專業人員,C000000000,269,67984,109.5
43,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),C000000000,31787,72123,140.5
44,2023,律師,C000000000,184,84836,148.8
45,2023,專利工程師及公證人,C000000000,308,73412,141.2
46,2023,社工師、心理專業人員,C000000000,-,-,-
47,2023,編輯、作家及有關撰稿人員,C000000000,-,-,-
48,2023,翻譯人員,C000000000,185,47646,72.1
49,2023,技術員及助理專業人員,C000000000,437357,43911,73.8
50,2023,物理、化學及地球科學技術員,C000000000,---,---,---
51,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),C000000000,408,54588,83.2
52,2023,電機、電子技術員,C000000000,87002,43832,89.8
53,2023,航空機械技術員,C000000000,1992,63354,99.8
54,2023,冷凍空調技術員,C000000000,441,44086,74.4
55,2023,機械技術員(含造船、輪機、鑄造),C000000000,55410,41878,69.9
56,2023,食品技術員,C000000000,6065,40028,53.4
57,2023,化工技術員,C000000000,18326,46383,75.8
58,2023,品管、工管及生管技術員,C000000000,96982,39336,63.6
59,2023,製圖員,C000000000,16209,38021,51.3
60,2023,地質、採礦、鑽探、冶金技術員,C000000000,54,48243,88.6
61,2023,環境工程技術員,C000000000,1988,47815,79.3
62,2023,紡織技術員,C000000000,6672,36558,47.7
63,2023,發電設備操作員,C000000000,309,57304,87.8
64,2023,焚化爐、水處理及氣(液)體設備操作員,C000000000,1952,52046,80.9
65,2023,化學加工設備控制員,C000000000,1279,51655,84.7
66,2023,石油及天然氣精煉設備操作員,C000000000,2788,65699,103.2
67,2023,金屬生產製程控制員,C000000000,3282,44158,67.7
68,2023,生命科學技術員,C000000000,---,---,---
69,2023,農業技術及農業推廣人員,C000000000,1259,50391,81.8
70,2023,船舶監管人員(含引水人員),C000000000,---,---,---
71,2023,航空駕駛員,C000000000,-,-,-
