序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,Q000000000,21577,93387,143.3
2,2023,高階主管(總經理及總執行長),Q000000000,1345,227212,320
3,2023,中階主管(經理),Q000000000,4166,126658,198.2
4,2023,監督人員(含現場及辦公室主任、科/股長),Q000000000,16066,73557,114.2
5,2023,專業人員,Q000000000,274815,73289,103.3
6,2023,統計及精算專業人員,Q000000000,---,---,---
7,2023,生物科學工程師,Q000000000,908,55150,65.9
8,2023,醫療器材、醫學工程師,Q000000000,---,---,---
9,2023,電機、電子工程師,Q000000000,244,51294,85.7
10,2023,建築工程師(含建築師),Q000000000,---,---,---
11,2023,醫師,Q000000000,53788,170537,234
12,2023,護理人員,Q000000000,167348,49272,71.2
13,2023,藥事人員(含藥師),Q000000000,17539,57345,80.3
14,2023,勞安及衛生管理人員(含工業安全管理師),Q000000000,---,---,---
15,2023,物理治療師,Q000000000,6782,45686,61.2
16,2023,營養師,Q000000000,2337,43507,64.8
17,2023,聽力及語言治療師,Q000000000,1650,50855,68.8
18,2023,職能治療師,Q000000000,4029,45897,62.8
19,2023,呼吸治療師,Q000000000,2153,53509,77.9
20,2023,醫院管理師,Q000000000,2675,43051,64.1
21,2023,其他醫療保健專業人員,Q000000000,6879,49601,79
22,2023,專案管理師(含經營管理顧問),Q000000000,596,48166,66.3
23,2023,稽核人員,Q000000000,---,---,---
24,2023,人力資源管理師,Q000000000,97,50269,78.8
25,2023,廣告及行銷專業人員(含企劃),Q000000000,532,39642,54.1
26,2023,公關專業人員,Q000000000,336,45030,65.5
27,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),Q000000000,1956,55698,81.8
28,2023,社工師、心理專業人員,Q000000000,4828,44834,64.5
29,2023,技術員及助理專業人員,Q000000000,53317,39685,55
30,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),Q000000000,57,44964,64.8
31,2023,電機、電子技術員,Q000000000,571,44653,63.1
32,2023,環境工程技術員,Q000000000,---,---,---
33,2023,生命科學技術員,Q000000000,161,41943,57.6
34,2023,醫療設備控制技術員,Q000000000,7249,48860,70.5
35,2023,醫學及病理檢驗人員,Q000000000,9812,48887,71.8
36,2023,義肢、義齒等人體輔具技術員,Q000000000,231,33687,46.6
37,2023,傳統醫學技術員,Q000000000,878,44945,81.1
38,2023,牙醫助理,Q000000000,8077,30282,37.5
39,2023,病歷管理人員,Q000000000,3330,34791,49.2
40,2023,配鏡、驗光技術員,Q000000000,765,34395,44.6
41,2023,物理、職能(復健)治療技術員,Q000000000,1878,39184,52.8
42,2023,勞安及衛生技術員,Q000000000,48,38712,53.4
43,2023,其他醫療保健助理專業人員,Q000000000,13890,34862,44.4
44,2023,會計人員,Q000000000,121,46349,62.9
45,2023,工商業銷售代表(含業務員),Q000000000,222,57233,61.6
46,2023,採購員,Q000000000,904,39464,59.8
47,2023,專業秘書,Q000000000,849,44824,63.6
48,2023,法務人員,Q000000000,114,49158,69.7
49,2023,社會工作助理人員,Q000000000,3087,35608,48.9
50,2023,運動、健身及休閒娛樂指導員,Q000000000,-,-,-
51,2023,資訊管理及維護技術員,Q000000000,1065,42880,61.5
52,2023,廣播及視聽技術員(含放映員),Q000000000,-,-,-
53,2023,事務支援人員,Q000000000,43563,34269,47.6
54,2023,總務,Q000000000,3702,37391,53.4
55,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),Q000000000,16273,36196,51.9
56,2023,收帳、收費人員(含帳款催收),Q000000000,---,---,---
57,2023,接待員及服務台事務人員(含總機),Q000000000,2855,32156,45
58,2023,電話及網路客服人員,Q000000000,265,34690,48.7
59,2023,醫院(診所)櫃台事務人員,Q000000000,14361,31028,41.6
60,2023,會計助理、簿記、出納,Q000000000,3830,35944,47
61,2023,存貨事務人員,Q000000000,587,34151,47.1
62,2023,生產及物料規劃事務人員,Q000000000,-,-,-
63,2023,人事事務人員,Q000000000,1659,36024,49.5
64,2023,服務及銷售工作人員,Q000000000,69622,32433,42.4
65,2023,廚師,Q000000000,1619,36427,49.7
66,2023,餐飲服務人員(含餐食櫃台工作),Q000000000,427,31237,42.6
67,2023,美髮、美容及造型設計人員,Q000000000,111,30966,38.1
68,2023,兒童照顧人員(含保母),Q000000000,13344,31655,40.2
69,2023,健康照顧人員(含看護、月子照護),Q000000000,53326,32443,42.5
70,2023,建築物管理員、保全及警衛人員,Q000000000,795,37608,58.2
71,2023,技藝、機械設備操作及組裝人員,Q000000000,4478,37542,55.1
72,2023,園藝及農牧業生產人員,Q000000000,-,-,-
73,2023,營建木作人員,Q000000000,---,---,---
74,2023,空調及冷凍機械裝修人員,Q000000000,232,42376,61.5
75,2023,精密儀器製造及修理人員,Q000000000,265,42993,69.9
76,2023,電力、電子、資通訊設備裝修人員(含水電工),Q000000000,1299,41777,62.8
77,2023,木材處理、家具木工及有關工作人員,Q000000000,-,-,-
78,2023,生產機械設備操作人員、剪裁或裁縫人員,Q000000000,---,---,---
79,2023,洗滌工、熨燙工,Q000000000,250,34768,52.6
80,2023,小客、貨車駕駛人員,Q000000000,1890,32935,45.8
81,2023,大客、貨車駕駛人員,Q000000000,422,41578,61.2
82,2023,基層技術工及勞力工,Q000000000,11267,30780,43.8
83,2023,清潔及家事工作人員(含建築清潔工、房務人員),Q000000000,4423,30552,41.8
84,2023,勞力工(含理貨員、行李搬運工),Q000000000,3325,32354,47.1
85,2023,廢棄物收集工及回收資源分類工,Q000000000,---,---,---
86,2023,廚房幫工(含速食烹調),Q000000000,3502,29560,42.9
87,2023,主管及監督人員,Q860000000,16763,105604,162.8
88,2023,高階主管(總經理及總執行長),Q860000000,1181,245109,349.8
89,2023,中階主管(經理),Q860000000,3589,136627,216.8
90,2023,監督人員(含現場及辦公室主任、科/股長),Q860000000,11993,82583,129.9
91,2023,專業人員,Q860000000,264391,74640,105.3
92,2023,統計及精算專業人員,Q860000000,---,---,---
93,2023,醫療器材、醫學工程師,Q860000000,---,---,---
94,2023,生物科學工程師,Q860000000,908,55150,65.9
95,2023,電機、電子工程師,Q860000000,244,51294,85.7
96,2023,建築工程師(含建築師),Q860000000,---,---,---
97,2023,醫師,Q860000000,53783,170539,234
98,2023,護理人員,Q860000000,159469,49880,72.2
99,2023,藥事人員(含藥師),Q860000000,17509,57345,80.3
100,2023,勞安及衛生管理人員(含工業安全管理師),Q860000000,---,---,---
101,2023,物理治療師,Q860000000,6698,45615,61.1
102,2023,營養師,Q860000000,2245,43665,65.4
103,2023,聽力及語言治療師,Q860000000,1560,51193,69.6
104,2023,職能治療師,Q860000000,3750,45932,62.6
105,2023,呼吸治療師,Q860000000,2153,53509,77.9
106,2023,醫院管理師,Q860000000,2675,43051,64.1
107,2023,其他醫療保健專業人員,Q860000000,6752,49672,79.1
108,2023,專案管理師(含經營管理顧問),Q860000000,594,48205,66.3
109,2023,稽核人員,Q860000000,---,---,---
110,2023,人力資源管理師,Q860000000,97,50269,78.8
111,2023,廣告及行銷專業人員(含企劃),Q860000000,466,39278,54.2
112,2023,公關專業人員,Q860000000,325,45155,65.9
113,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),Q860000000,1932,55759,81.9
114,2023,社工師、心理專業人員,Q860000000,3093,44760,65.5
115,2023,技術員及助理專業人員,Q860000000,49300,40029,55.5
116,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),Q860000000,57,44964,64.8
117,2023,電機、電子技術員,Q860000000,545,44625,63.3
118,2023,環境工程技術員,Q860000000,---,---,---
119,2023,生命科學技術員,Q860000000,161,41943,57.6
120,2023,醫療設備控制技術員,Q860000000,7249,48860,70.5
121,2023,醫學及病理檢驗人員,Q860000000,9812,48887,71.8
122,2023,義肢、義齒等人體輔具技術員,Q860000000,221,33636,46.6
123,2023,傳統醫學技術員,Q860000000,878,44945,81.1
124,2023,牙醫助理,Q860000000,8077,30282,37.5
125,2023,病歷管理人員,Q860000000,3330,34791,49.2
126,2023,配鏡、驗光技術員,Q860000000,765,34395,44.6
127,2023,物理、職能(復健)治療技術員,Q860000000,1696,39582,52.8
128,2023,勞安及衛生技術員,Q860000000,48,38712,53.4
129,2023,其他醫療保健助理專業人員,Q860000000,12554,34897,44.6
130,2023,會計人員,Q860000000,117,45909,62
131,2023,工商業銷售代表(含業務員),Q860000000,222,57233,61.6
132,2023,採購員,Q860000000,886,39154,59.5
133,2023,專業秘書,Q860000000,836,44603,62.3
134,2023,法務人員,Q860000000,114,49158,69.7
135,2023,社會工作助理人員,Q860000000,688,35808,50.6
136,2023,運動、健身及休閒娛樂指導員,Q860000000,-,-,-
137,2023,資訊管理及維護技術員,Q860000000,1036,43066,61.9
138,2023,廣播及視聽技術員(含放映員),Q860000000,-,-,-
139,2023,事務支援人員,Q860000000,39095,34105,47.6
140,2023,總務,Q860000000,3047,37901,54.2
141,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),Q860000000,14654,36056,51.7
142,2023,收帳、收費人員(含帳款催收),Q860000000,---,---,---
143,2023,接待員及服務台事務人員(含總機),Q860000000,2527,32249,45.3
144,2023,電話及網路客服人員,Q860000000,259,34788,48.9
145,2023,醫院(診所)櫃台事務人員,Q860000000,14361,31028,41.6
146,2023,會計助理、簿記、出納,Q860000000,2459,36513,49.2
147,2023,存貨事務人員,Q860000000,587,34151,47.1
148,2023,生產及物料規劃事務人員,Q860000000,-,-,-
149,2023,人事事務人員,Q860000000,1170,36049,50.1
150,2023,服務及銷售工作人員,Q860000000,7202,34582,46.5
151,2023,廚師,Q860000000,529,39962,58.1
152,2023,餐飲服務人員(含餐食櫃台工作),Q860000000,427,31237,42.6
153,2023,美髮、美容及造型設計人員,Q860000000,111,30966,38.1
154,2023,兒童照顧人員(含保母),Q860000000,300,36046,48.7
155,2023,健康照顧人員(含看護、月子照護),Q860000000,5181,33832,43.9
156,2023,建築物管理員、保全及警衛人員,Q860000000,654,38303,60.3
157,2023,技藝、機械設備操作及組裝人員,Q860000000,3664,38702,58.3
158,2023,園藝及農牧業生產人員,Q860000000,-,-,-
159,2023,營建木作人員,Q860000000,---,---,---
160,2023,空調及冷凍機械裝修人員,Q860000000,232,42376,61.5
161,2023,精密儀器製造及修理人員,Q860000000,265,42993,69.9
162,2023,電力、電子、資通訊設備裝修人員(含水電工),Q860000000,1220,42122,63.6
163,2023,木材處理、家具木工及有關工作人員,Q860000000,-,-,-
164,2023,生產機械設備操作人員、剪裁或裁縫人員,Q860000000,---,---,---
165,2023,洗滌工、熨燙工,Q860000000,208,35506,53.3
166,2023,小客、貨車駕駛人員,Q860000000,1218,33593,48.7
167,2023,大客、貨車駕駛人員,Q860000000,401,41785,61.8
168,2023,基層技術工及勞力工,Q860000000,8858,31350,45.3
169,2023,清潔及家事工作人員(含建築清潔工、房務人員),Q860000000,3667,30832,42.4
170,2023,勞力工(含理貨員、行李搬運工),Q860000000,3251,32393,47.3
171,2023,廢棄物收集工及回收資源分類工,Q860000000,---,---,---
172,2023,廚房幫工(含速食烹調),Q860000000,1923,30555,47
173,2023,主管及監督人員,Q878800000,4814,50845,68
174,2023,高階主管(總經理及總執行長),Q878800000,---,---,---
175,2023,中階主管(經理),Q878800000,577,64647,90.3
176,2023,監督人員(含現場及辦公室主任、科/股長),Q878800000,4073,46978,61.1
177,2023,專業人員,Q878800000,10424,39017,54
178,2023,醫師,Q878800000,---,---,---
179,2023,護理人員,Q878800000,7879,36961,51.2
180,2023,藥事人員(含藥師),Q878800000,---,---,---
181,2023,物理治療師,Q878800000,---,---,---
182,2023,營養師,Q878800000,---,---,---
183,2023,聽力及語言治療師,Q878800000,---,---,---
184,2023,職能治療師,Q878800000,---,---,---
185,2023,其他醫療保健專業人員,Q878800000,---,---,---
186,2023,專案管理師(含經營管理顧問),Q878800000,-,-,-
187,2023,廣告及行銷專業人員(含企劃),Q878800000,---,---,---
188,2023,公關專業人員,Q878800000,---,---,---
189,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),Q878800000,---,---,---
190,2023,社工師、心理專業人員,Q878800000,1735,44967,62.5
191,2023,技術員及助理專業人員,Q878800000,4017,35461,47.1
192,2023,電機、電子技術員,Q878800000,---,---,---
193,2023,義肢、義齒等人體輔具技術員,Q878800000,-,-,-
194,2023,物理、職能(復健)治療技術員,Q878800000,182,35473,53.1
195,2023,其他醫療保健助理專業人員,Q878800000,1336,34537,42.3
196,2023,會計人員,Q878800000,-,-,-
197,2023,採購員,Q878800000,---,---,---
198,2023,專業秘書,Q878800000,-,-,-
199,2023,社會工作助理人員,Q878800000,2399,35551,48.3
200,2023,資訊管理及維護技術員,Q878800000,---,---,---
201,2023,事務支援人員,Q878800000,4468,35710,48.1
202,2023,總務,Q878800000,655,35021,49.1
203,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),Q878800000,1619,37461,54.4
204,2023,接待員及服務台事務人員(含總機),Q878800000,---,---,---
205,2023,電話及網路客服人員,Q878800000,---,---,---
206,2023,會計助理、簿記、出納,Q878800000,1371,34924,43.4
207,2023,人事事務人員,Q878800000,---,---,---
208,2023,服務及銷售工作人員,Q878800000,62420,32186,41.9
209,2023,廚師,Q878800000,1090,34711,44.3
210,2023,兒童照顧人員(含保母),Q878800000,13044,31554,40
211,2023,健康照顧人員(含看護、月子照護),Q878800000,48145,32293,42.3
212,2023,建築物管理員、保全及警衛人員,Q878800000,---,---,---
213,2023,技藝、機械設備操作及組裝人員,Q878800000,814,32318,43.1
214,2023,電力、電子、資通訊設備裝修人員(含水電工),Q878800000,---,---,---
215,2023,洗滌工、熨燙工,Q878800000,---,---,---
216,2023,小客、貨車駕駛人員,Q878800000,672,31741,42
217,2023,大客、貨車駕駛人員,Q878800000,---,---,---
218,2023,基層技術工及勞力工,Q878800000,2409,28684,38.3
219,2023,清潔及家事工作人員(含建築清潔工、房務人員),Q878800000,756,29191,38.9
220,2023,勞力工(含理貨員、行李搬運工),Q878800000,---,---,---
221,2023,廚房幫工(含速食烹調),Q878800000,1579,28349,37.9
