序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
1,2025,主管及監督人員,M000000000,64532,87759,134
2,2025,高階主管(總經理及總執行長),M000000000,7359,168203,277.8
3,2025,中階主管(經理),M000000000,22359,97485,151.4
4,2025,監督人員(含現場及辦公室主任、科/股長),M000000000,34814,64509,91.6
5,2025,專業人員,M000000000,102682,64330,93.9
6,2025,數理工程及地球科學研究人員,M000000000,888,76900,111.9
7,2025,統計及精算專業人員,M000000000,75,62044,73.8
8,2025,生命科學及生物科技專業人員(含生態環境),M000000000,5612,66213,91.8
9,2025,農、林、漁、牧業專業人員,M000000000,830,55482,81
10,2025,品管、工管及生管工程師,M000000000,3237,66926,93.9
11,2025,土木及水利工程師,M000000000,7051,60394,84.5
12,2025,環境工程師,M000000000,4987,57650,87.2
13,2025,冷凍空調工程師,M000000000,---,---,---
14,2025,機械工程師(含造船、輪機、鑄造),M000000000,3681,69708,109.8
15,2025,食品工程師,M000000000,303,47804,68.3
16,2025,化學工程師,M000000000,2946,65542,99.2
17,2025,地質、採礦、鑽探、冶金工程師,M000000000,94,75574,116.5
18,2025,紡織工程師,M000000000,108,47658,66.9
19,2025,醫療器材、醫學工程師,M000000000,---,---,---
20,2025,生物科學工程師,M000000000,-,-,-
21,2025,光學工程師,M000000000,---,---,---
22,2025,電機、電子工程師,M000000000,14161,84906,126.4
23,2025,電信工程師,M000000000,155,53670,77.9
24,2025,建築工程師(含建築師),M000000000,2441,58078,79.5
25,2025,景觀設計師、都市及交通規劃師,M000000000,638,48623,63.4
26,2025,測量師及製圖師,M000000000,1806,48580,69.5
27,2025,室內設計師,M000000000,2529,49975,68.6
28,2025,平面及多媒體設計師,M000000000,4629,45508,60.2
29,2025,產品及服裝設計師(含工業設計),M000000000,996,52998,78.2
30,2025,醫師,M000000000,---,---,---
31,2025,護理人員,M000000000,304,50810,81.4
32,2025,獸醫師,M000000000,588,51101,65.5
33,2025,藥事人員(含藥師),M000000000,---,---,---
34,2025,勞安及衛生管理人員(含工業安全管理師),M000000000,205,69691,101.9
35,2025,營養師,M000000000,---,---,---
36,2025,聽力及語言治療師,M000000000,-,-,-
37,2025,其他醫療保健專業人員,M000000000,-,-,-
38,2025,補教業教師,M000000000,-,-,-
39,2025,會(審)計師,M000000000,3962,61224,95
40,2025,風險控管人員,M000000000,-,-,-
41,2025,財務及投資規劃分析人員,M000000000,1848,61761,85
42,2025,專案管理師(含經營管理顧問),M000000000,8518,64483,95.3
43,2025,稽核人員,M000000000,504,72127,104.6
44,2025,人力資源管理師,M000000000,2278,58382,82.3
45,2025,廣告及行銷專業人員(含企劃),M000000000,10282,48554,65.8
46,2025,公關專業人員,M000000000,964,50222,65.2
47,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),M000000000,8680,72403,106.7
48,2025,律師,M000000000,2323,91510,155.1
