序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
1,2025,主管及監督人員,B000000000,273,76588,117.3
2,2025,高階主管(總經理及總執行長),B000000000,---,---,---
3,2025,中階主管(經理),B000000000,83,86105,127.3
4,2025,監督人員(含現場及辦公室主任、科/股長),B000000000,179,70552,110.4
5,2025,專業人員,B000000000,395,67482,109.3
6,2025,品管、工管及生管工程師,B000000000,---,---,---
7,2025,土木及水利工程師,B000000000,---,---,---
8,2025,環境工程師,B000000000,---,---,---
9,2025,機械工程師(含造船、輪機、鑄造),B000000000,---,---,---
10,2025,化學工程師,B000000000,---,---,---
11,2025,地質、採礦、鑽探、冶金工程師,B000000000,135,69956,119.4
12,2025,電機、電子工程師,B000000000,---,---,---
13,2025,測量師及製圖師,B000000000,-,-,-
14,2025,醫師,B000000000,-,-,-
15,2025,護理人員,B000000000,---,---,---
16,2025,藥事人員(含藥師),B000000000,-,-,-
17,2025,勞安及衛生管理人員(含工業安全管理師),B000000000,---,---,---
18,2025,會(審)計師,B000000000,---,---,---
19,2025,專案管理師(含經營管理顧問),B000000000,59,69915,117.3
20,2025,稽核人員,B000000000,-,-,-
21,2025,人力資源管理師,B000000000,---,---,---
22,2025,廣告及行銷專業人員(含企劃),B000000000,-,-,-
23,2025,公關專業人員,B000000000,---,---,---
24,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),B000000000,---,---,---
25,2025,律師,B000000000,-,-,-
26,2025,其他專業人員,B000000000,-,-,-
27,2025,技術員及助理專業人員,B000000000,478,53336,89.9
28,2025,營建工程技術員(含建築、土木、景觀、測量、水利、消防),B000000000,---,---,---
29,2025,電機、電子技術員,B000000000,-,-,-
30,2025,機械技術員(含造船、輪機、鑄造),B000000000,47,50780,86.1
31,2025,化工技術員,B000000000,44,54845,94.4
32,2025,品管、工管及生管技術員,B000000000,---,---,---
33,2025,地質、採礦、鑽探、冶金技術員,B000000000,205,54886,92.2
34,2025,環境工程技術員,B000000000,---,---,---
35,2025,焚化爐、水處理及氣(液)體設備操作員,B000000000,63,52504,101.3
