序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
1,2025,主管及監督人員,D000000000,6177,100728,171
2,2025,高階主管(總經理及總執行長),D000000000,460,156121,293.3
3,2025,中階主管(經理),D000000000,1448,115392,195.4
4,2025,監督人員(含現場及辦公室主任、科/股長),D000000000,4269,89785,149.6
5,2025,專業人員,D000000000,9006,64080,109.6
6,2025,品管、工管及生管工程師,D000000000,958,66094,111.6
7,2025,土木及水利工程師,D000000000,463,58521,98.2
8,2025,環境工程師,D000000000,---,---,---
9,2025,機械工程師(含造船、輪機、鑄造),D000000000,1668,64027,108.2
10,2025,化學工程師,D000000000,222,63952,108.3
11,2025,電機、電子工程師,D000000000,4532,64107,111.4
12,2025,電信工程師,D000000000,-,-,-
13,2025,測量師及製圖師,D000000000,---,---,---
14,2025,護理人員,D000000000,61,53500,91.4
15,2025,勞安及衛生管理人員(含工業安全管理師),D000000000,191,68488,112.2
16,2025,會(審)計師,D000000000,---,---,---
17,2025,財務及投資規劃分析人員,D000000000,---,---,---
18,2025,專案管理師(含經營管理顧問),D000000000,65,60311,101.5
19,2025,稽核人員,D000000000,62,85314,148.2
20,2025,人力資源管理師,D000000000,---,---,---
21,2025,廣告及行銷專業人員(含企劃),D000000000,178,68019,111.9
22,2025,公關專業人員,D000000000,120,64869,108.6
23,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),D000000000,320,58520,100.4
24,2025,律師,D000000000,---,---,---
25,2025,翻譯人員,D000000000,-,-,-
26,2025,其他專業人員,D000000000,-,-,-
27,2025,技術員及助理專業人員,D000000000,3791,54451,94.3
28,2025,營建工程技術員(含建築、土木、景觀、測量、水利、消防),D000000000,275,47281,79.6
29,2025,電機、電子技術員,D000000000,1308,60990,106.7
30,2025,機械技術員(含造船、輪機、鑄造),D000000000,239,50318,87.2
31,2025,化工技術員,D000000000,415,56487,93
32,2025,品管、工管及生管技術員,D000000000,193,46590,77.8
33,2025,製圖員,D000000000,94,46053,94
34,2025,環境工程技術員,D000000000,---,---,---
35,2025,發電設備操作員,D000000000,-,-,-
36,2025,焚化爐、水處理及氣(液)體設備操作員,D000000000,681,50680,92.8
37,2025,石油及天然氣精煉設備操作員,D000000000,-,-,-
38,2025,義肢、義齒等人體輔具技術員,D000000000,-,-,-
39,2025,勞安及衛生技術員,D000000000,76,46887,75.8
40,2025,會計人員,D000000000,---,---,---
41,2025,工商業銷售代表(含業務員),D000000000,150,47160,84
42,2025,採購員,D000000000,82,49999,72.9
43,2025,報關員(含報驗、船務人員),D000000000,-,-,-
44,2025,專業秘書,D000000000,43,59943,112.5
45,2025,法務人員,D000000000,51,60274,99.7
46,2025,資訊管理及維護技術員,D000000000,132,52542,88.2
47,2025,其他技術員及助理專業人員,D000000000,-,-,-
48,2025,事務支援人員,D000000000,5464,54012,89.2
49,2025,總務,D000000000,758,54145,91.6
50,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),D000000000,2248,54204,89.2
51,2025,銀行、郵局櫃台事務人員,D000000000,-,-,-
52,2025,收帳、收費人員(含帳款催收),D000000000,181,44797,84.5
53,2025,接待員及服務台事務人員(含總機),D000000000,103,36196,67.1
54,2025,電話及網路客服人員,D000000000,---,---,---
55,2025,統計調查訪談人員,D000000000,-,-,-
56,2025,醫院(診所)櫃台事務人員,D000000000,-,-,-
57,2025,會計助理、簿記、出納,D000000000,950,53479,86.7
58,2025,統計、財務、證券及保險事務人員,D000000000,-,-,-
59,2025,存貨事務人員,D000000000,638,58759,95.7
60,2025,生產及物料規劃事務人員,D000000000,64,43105,68.2
61,2025,運輸事務人員(含稽查、調度、管理、航務),D000000000,---,---,---
62,2025,人事事務人員,D000000000,457,56444,91.9
63,2025,其他事務支援人員,D000000000,-,-,-
64,2025,服務及銷售工作人員,D000000000,---,---,---
65,2025,廚師(含廚房領班),D000000000,-,-,-
66,2025,商店銷售及展售人員(含門市店長),D000000000,---,---,---
67,2025,建築物管理員、保全及警衛人員,D000000000,---,---,---
68,2025,其他服務及銷售工作人員,D000000000,-,-,-
69,2025,技藝、機械設備操作及組裝人員,D000000000,12521,58498,101.4
70,2025,鋼筋彎紮、模板及混凝土有關工作人員,D000000000,108,50824,83.9
71,2025,管道裝設人員(含檢修),D000000000,612,45833,83
72,2025,焊接及切割人員(含電焊工、氣焊工),D000000000,---,---,---
73,2025,金屬工具機設定及操作人員,D000000000,-,-,-
74,2025,車輛維修人員(含自行車、機車、汽車、火車),D000000000,-,-,-
75,2025,產業用機器維修人員,D000000000,---,---,---
76,2025,精密儀器製造及修理人員,D000000000,-,-,-
77,2025,電力、電子、資通訊設備裝修人員(含水電工),D000000000,10770,60072,104.7
78,2025,生產機械設備操作人員、剪裁或裁縫人員,D000000000,435,53272,94.2
79,2025,機車送件駕駛人員,D000000000,-,-,-
80,2025,小客、貨車駕駛人員,D000000000,201,46478,70.9
81,2025,大客、貨車駕駛人員,D000000000,152,41635,53.3
82,2025,推土、吊車、起重機等移運設備操作人員,D000000000,174,52820,90.4
83,2025,船舶艙面水手及有關工作人員,D000000000,-,-,-
84,2025,其他技藝、機械設備操作及組裝人員,D000000000,-,-,-
85,2025,基層技術工及勞力工,D000000000,274,34273,60.1
86,2025,清潔及家事工作人員(含建築清潔工、房務人員),D000000000,---,---,---
87,2025,勞力工(含理貨員、行李搬運工),D000000000,---,---,---
88,2025,廢棄物收集工及回收資源分類工,D000000000,-,-,-
89,2025,抄表員及自動販賣機收款員,D000000000,136,37236,61
90,2025,停車場管理工,D000000000,-,-,-
91,2025,主管及監督人員,D351000000,5390,102309,172.8
92,2025,高階主管(總經理及總執行長),D351000000,368,153325,290.7
93,2025,中階主管(經理),D351000000,1221,119107,200.4
94,2025,監督人員(含現場及辦公室主任、科/股長),D351000000,3801,91974,152.7
95,2025,專業人員,D351000000,8358,64249,109.5
96,2025,品管、工管及生管工程師,D351000000,850,66356,111.3
